name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,,,,,
S - 52649,775985824352649,USD,"568,82",17-10-2025,17-10-2025,17,,,,,,,,
S-888530582918015,888530582918015,USD,"8,32",17-10-2025,17-10-2025,17,,,,,,,,
S-855575009693751,855575009693751,USD,"214,74",17-10-2025,17-10-2025,17,,,,,,,,
S-1633273780813849,1633273780813849,USD,"42,68",17-10-2025,17-10-2025,17,,,,,,,,
S-3170637039747831,3170637039747831,USD,"2,97",17-10-2025,17-10-2025,17,,,,,,,,
S-1405752270149758,1405752270149758,USD,"81,00",17-10-2025,17-10-2025,17,,,,,,,,
S-241606168968979,241606168968979,USD,"44,06",17-10-2025,17-10-2025,17,,,,,,,,
S - 123,1051136232804850,USD,"95,16",17-10-2025,17-10-2025,17,,,,,,,,
S-347188351590521,347188351590521,USD,"852,80",17-10-2025,17-10-2025,17,,,,,,,,
S - 66193,1031601114809275,USD,"45,59",17-10-2025,17-10-2025,17,,,,,,,,
S - 123213124,398932302566227,USD,"1,12",17-10-2025,17-10-2025,17,,,,,,,,
S - 123213131,707385968032949,USD,"135,22",17-10-2025,17-10-2025,17,,,,,,,,
S-7348,1413479899377348,USD,"107,09",17-10-2025,17-10-2025,17,,,,,,,,
S-6750,329484699906750,USD,"170,91",17-10-2025,17-10-2025,17,,,,,,,,
S-3067,2013000395753067,USD,"395,94",17-10-2025,17-10-2025,17,,,,,,,,
1526447304862410,1526447304862410,USD,"173,89",17-10-2025,17-10-2025,17,,,,,,,,
Valorie 4 20/5 5,376996951515732,USD,"73,62",17-10-2025,17-10-2025,17,,,,,,,,
back 12,209813418865335,USD,"297,05",17-10-2025,17-10-2025,17,,,,,,,,
Marta 9.10 6,360861146690738,USD,"47,62",17-10-2025,17-10-2025,17,,,,,,,,
Valorie 10 6,1035936230855988,USD,"15,52",17-10-2025,17-10-2025,17,,,,,,,,
RoiBogdan 42 4.9 1,1324517414927279,USD,"314,63",17-10-2025,17-10-2025,17,,,,,,,,
px 2 16.7 2,380669224330019,USD,"50,49",17-10-2025,17-10-2025,17,,,,,,,,
RoiBogdan 44 30.9,3861475454079870,USD,"104,79",17-10-2025,17-10-2025,17,,,,,,,,
lele294,2626915067484304,USD,"55,19",17-10-2025,17-10-2025,17,,,,,,,,
BAOANH10acc 4,698037965867907,USD,"80,91",17-10-2025,17-10-2025,17,,,,,,,,
BAOANH10acc 6,705467771652477,USD,"1.140,61",17-10-2025,17-10-2025,17,,,,,,,,
S - 123,977724739817812,USD,"20,64",17-10-2025,17-10-2025,17,,,,,,,,
S - 123,635795387638459,USD,"1.008,25",17-10-2025,17-10-2025,17,,,,,,,,
S-1125927081512937,1125927081512937,USD,"74,45",17-10-2025,17-10-2025,17,,,,,,,,
S-1129111407893370,1129111407893370,USD,"71,11",17-10-2025,17-10-2025,17,,,,,,,,
S-30865734462red,308657344625083,USD,"514,29",17-10-2025,17-10-2025,17,,,,,,,,
S - 15376,337244804797933,USD,"225,60",17-10-2025,17-10-2025,17,,,,,,,,
s 369,947870896119062,USD,"17,44",17-10-2025,17-10-2025,17,,,,,,,,
S - 5434,272041411702660,USD,"72,54",17-10-2025,17-10-2025,17,,,,,,,,
S - 67642,2046531428850071,USD,"75,66",17-10-2025,17-10-2025,17,,,,,,,,
S - 5432,657044349073568,USD,"143,34",17-10-2025,17-10-2025,17,,,,,,,,
S - 45650,486554689640346,USD,"257,56",17-10-2025,17-10-2025,17,,,,,,,,
S - 45655,1085618385616050,USD,"29,48",17-10-2025,17-10-2025,17,,,,,,,,
S-3041975,486716176132941,USD,"141,90",17-10-2025,17-10-2025,17,,,,,,,,
S-3041975,1079527482901476,USD,"115,66",17-10-2025,17-10-2025,17,,,,,,,,
S-3041975,955964218374786,USD,"50,88",17-10-2025,17-10-2025,17,,,,,,,,
S-3041975,746157306362466,USD,"106,55",17-10-2025,17-10-2025,17,,,,,,,,
px 16.7 2,368686014629844,USD,"338,84",17-10-2025,17-10-2025,17,,,,,,,,
475592304159481 (1),475592304159481,USD,"8,74",17-10-2025,17-10-2025,17,,,,,,,,
265309692257659,265309692257659,USD,"194,57",17-10-2025,17-10-2025,17,,,,,,,,
894138267947600,894138267947600,USD,"239,62",17-10-2025,17-10-2025,17,,,,,,,,
S - 6745,457371742538892,USD,"282,05",17-10-2025,17-10-2025,17,,,,,,,,
Agency 226,768057787503801,USD,"152,19",17-10-2025,17-10-2025,17,,,,,,,,
lele35,462550605533804,USD,"114,70",17-10-2025,17-10-2025,17,,,,,,,,
Agency 129,1603746390003162,USD,"336,33",17-10-2025,17-10-2025,17,,,,,,,,
Agency 116 - K,353167719728369,USD,"109,64",17-10-2025,17-10-2025,17,,,,,,,,
Đã fix thuế 12,623327968934474,USD,"120,45",17-10-2025,17-10-2025,17,,,,,,,,
RoiBogdan 43 using 3,696048781564903,USD,"56,38",17-10-2025,17-10-2025,17,,,,,,,,
S - 3223,1049438285623080,USD,"207,49",17-10-2025,17-10-2025,17,,,,,,,,
s 9050,335528849349050,USD,"115,37",17-10-2025,17-10-2025,17,,,,,,,,
s 4324,385225324044324,USD,"256,19",17-10-2025,17-10-2025,17,,,,,,,,
s 3846,1562954824523846,USD,"67,16",17-10-2025,17-10-2025,17,,,,,,,,
S - 465133,747587523915544,USD,"0,28",17-10-2025,17-10-2025,17,,,,,,,,
S - 465143,323285310681318,USD,"43,43",17-10-2025,17-10-2025,17,,,,,,,,
S - 465149,716183103959639,USD,"104,82",17-10-2025,17-10-2025,17,,,,,,,,
S - 465150,1165968337717881,USD,"815,65",17-10-2025,17-10-2025,17,,,,,,,,
S - 3214,780321804112182,USD,"97,97",17-10-2025,17-10-2025,17,,,,,,,,
S - 5435,742485901134720,USD,"17,71",17-10-2025,17-10-2025,17,,,,,,,,
S - 5432,1319229392116148,USD,"178,66",17-10-2025,17-10-2025,17,,,,,,,,
S- 2368,2682210305317141,USD,"77,81",17-10-2025,17-10-2025,17,,,,,,,,
S- 2371,1566178777467976,USD,"88,85",17-10-2025,17-10-2025,17,,,,,,,,
S- 2374,1048442123042059,USD,"48,15",17-10-2025,17-10-2025,17,,,,,,,,
Foster 1 2,1745573385911220,USD,"177,82",17-10-2025,17-10-2025,17,,,,,,,,
S - 011,3463167954013632,USD,"29,00",17-10-2025,17-10-2025,17,,,,,,,,
412845514429077,412845514429077,USD,"50,56",17-10-2025,17-10-2025,17,,,,,,,,
1076102710259293,1076102710259293,USD,"44,08",17-10-2025,17-10-2025,17,,,,,,,,
359996430300462,359996430300462,USD,"143,20",17-10-2025,17-10-2025,17,,,,,,,,
S-66666,7105228239555287,USD,"26,92",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 5699,1459724231243520,USD,"71,77",17-10-2025,17-10-2025,17,,,,,,,,
S - 20428,2476977662433277,USD,"186,07",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 42862,619769189131921,USD,"15,00",17-10-2025,17-10-2025,17,,,,,,,,
S - 66194,1355739461531421,USD,"213,09",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 10992,927904581262760,USD,"56,75",17-10-2025,17-10-2025,17,,,,,,,,
USD 208,240220871640218,USD,"261,00",17-10-2025,17-10-2025,17,,,,,,,,
USD 209,343412480986849,USD,"28,57",17-10-2025,17-10-2025,17,,,,,,,,
USD 21,7211128648928173,USD,"1.108,19",17-10-2025,17-10-2025,17,,,,,,,,
USD 210,684303622577234,USD,"133,29",17-10-2025,17-10-2025,17,,,,,,,,
USD 213,363394381926278,USD,"319,14",17-10-2025,17-10-2025,17,,,,,,,,
USD 215,446069710548846,USD,"214,52",17-10-2025,17-10-2025,17,,,,,,,,
USD 218,7006678346073563,USD,"40,97",17-10-2025,17-10-2025,17,,,,,,,,
USD236,759652931662873,USD,"26,34",17-10-2025,17-10-2025,17,,,,,,,,
USD 24,631162454781176,USD,"52,35",17-10-2025,17-10-2025,17,,,,,,,,
S-6423,267263765536423,USD,"513,39",17-10-2025,17-10-2025,17,,,,,,,,
USD 288,684293679265518,USD,"145,44",17-10-2025,17-10-2025,17,,,,,,,,
S - 01992,251275143820521,USD,"3.200,41",17-10-2025,17-10-2025,17,,,,,,,,
USD 31,5100044700063480,USD,"61,12",17-10-2025,17-10-2025,17,,,,,,,,
S-626190565158629,626190565158629,USD,"44,88",17-10-2025,17-10-2025,17,,,,,,,,
S - 15452,352693930059288,USD,"51,71",17-10-2025,17-10-2025,17,,,,,,,,
S - 15470,914192759280197,USD,"16,45",17-10-2025,17-10-2025,17,,,,,,,,
S-444116350729189,444116350729189,USD,"48,08",17-10-2025,17-10-2025,17,,,,,,,,
S-1040633689818099,1040633689818099,USD,"75,80",17-10-2025,17-10-2025,17,,,,,,,,
S-1285901875250881,1285901875250881,USD,"1,57",17-10-2025,17-10-2025,17,,,,,,,,
S-1024859928440681,1024859928440681,USD,"35,25",17-10-2025,17-10-2025,17,,,,,,,,
S-650596709326120,650596709326120,USD,"159,71",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 62452,1673590179656680,USD,"60,01",17-10-2025,17-10-2025,17,,,,,,,,
S - 82362,255962650033549,USD,"72,49",17-10-2025,17-10-2025,17,,,,,,,,
S - 82368,265921429026814,USD,"3.330,44",17-10-2025,17-10-2025,17,,,,,,,,
