name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,
S - 82362,255962650033549,USD,"28,39",25-10-2025,25-10-2025,25,,
706592987006186,706592987006186,USD,"2,48",25-10-2025,25-10-2025,25,,
S - 82368,265921429026814,USD,"79,89",25-10-2025,25-10-2025,25,,
S - 4561387,1139503053685460,USD,"67,64",25-10-2025,25-10-2025,25,,
385200967256727,385200967256727,USD,"129,88",25-10-2025,25-10-2025,25,,
3046967053red,304696705356271,USD,"85,38",25-10-2025,25-10-2025,25,,
S-9920,685041593499920,USD,"475,41",25-10-2025,25-10-2025,25,,
S - 38839,1738208896752314,USD,"399,31",25-10-2025,25-10-2025,25,,
S - 3220,2743860235790807,USD,"229,62",25-10-2025,25-10-2025,25,,
S - 64859,855207166405803,USD,"106,82",25-10-2025,25-10-2025,25,,
s 193,1088240659186547,USD,"83,44",25-10-2025,25-10-2025,25,,
1,1120608719107000,USD,"250,25",25-10-2025,25-10-2025,25,,
Vũ Bắc 277,775443001286259,USD,"232,08",25-10-2025,25-10-2025,25,,
Vũ Bắc 28,1032734204499736,USD,"34,39",25-10-2025,25-10-2025,25,,
Vũ Bắc 282,753523253360462,USD,"65,54",25-10-2025,25-10-2025,25,,
S - Maz5 0,866008405214118,USD,"5,28",25-10-2025,25-10-2025,25,,
Valorie 2 12.8 2,843172997611752,USD,"20,45",25-10-2025,25-10-2025,25,,
Scrooge 3 30.6 1,288740804184004,USD,"83,04",25-10-2025,25-10-2025,25,,
ROI OF 23.9 1,1329525604381888,USD,"0,05",25-10-2025,25-10-2025,25,,
Vũ Bắc 430,922533439386719,USD,"74,09",25-10-2025,25-10-2025,25,,
S-7777,349014871219802,USD,"78,88",25-10-2025,25-10-2025,25,,
S-1426279448240351,1426279448240351,USD,"414,86",25-10-2025,25-10-2025,25,,
S-645331157617373,645331157617373,USD,"722,12",25-10-2025,25-10-2025,25,,
s 0653,310517481420653,USD,"306,91",25-10-2025,25-10-2025,25,,
SD Agency - 15627,4802297803218304,USD,"0,06",25-10-2025,25-10-2025,25,,
S - 64363,477592584037443,USD,"8,90",25-10-2025,25-10-2025,25,,
S - 64366,4871823116227871,USD,"13,56",25-10-2025,25-10-2025,25,,
1161599567983084,1161599567983084,USD,"274,20",25-10-2025,25-10-2025,25,,
VIP 696,785363692429535,USD,"125,34",25-10-2025,25-10-2025,25,,
S-12212133red,1221213358287582,USD,"313,80",25-10-2025,25-10-2025,25,,
VIP 734,655880845722507,USD,"188,14",25-10-2025,25-10-2025,25,,
S - 45715,468128064986408,USD,"55,78",25-10-2025,25-10-2025,25,,
SD Agency - 15651,346489200687366,USD,"0,11",25-10-2025,25-10-2025,25,,
SD Agency - 15652,480914253667870,USD,"5,23",25-10-2025,25-10-2025,25,,
SD Agency - 15659,1079641579249452,USD,"252,55",25-10-2025,25-10-2025,25,,
S - 15671,1256976601452626,USD,"10,68",25-10-2025,25-10-2025,25,,
SD Agency - 15672,875665273215867,USD,"422,58",25-10-2025,25-10-2025,25,,
S - 15677,272536438354854,USD,"133,33",25-10-2025,25-10-2025,25,,
VIP 881,482127783449307,USD,"24,07",25-10-2025,25-10-2025,25,,
VIP 886,1827607844089026,USD,"58,62",25-10-2025,25-10-2025,25,,
VIP 887,670096531102675,USD,"53,84",25-10-2025,25-10-2025,25,,
VIP 897,1311020119373712,USD,"51,02",25-10-2025,25-10-2025,25,,
VIP 899,643420566937143,USD,"474,27",25-10-2025,25-10-2025,25,,
VIP 906,918852338812902,USD,"41,86",25-10-2025,25-10-2025,25,,
VIP 914,1088959058556575,USD,"49,66",25-10-2025,25-10-2025,25,,
VIP 917,356617382932639,USD,"66,03",25-10-2025,25-10-2025,25,,
VIP 924k,638812274046258,USD,"903,70",25-10-2025,25-10-2025,25,,
