name_acc,id_acc,currency_acc,spend,date1,date2,day,note,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
VI33,6871749832937519,USD,1811.27,01-10-2025,01-10-2025,1,,,,,,,,
bao anh,351734124264108,USD,167.68,01-10-2025,01-10-2025,1,,,,,,,,
TL 659,3506706679639347,USD,167.56,01-10-2025,01-10-2025,1,,,,,,,,
S-2522232051316761,2522232051316761,USD,70.64,01-10-2025,01-10-2025,1,,,,,,,,
S-280665824656412,280665824656412,USD,27.71,01-10-2025,01-10-2025,1,,,,,,,,
S-1587236945381166,1587236945381166,USD,23.4,01-10-2025,01-10-2025,1,,,,,,,,
SD Agency - 42852,1590984348316728,USD,135.78,01-10-2025,01-10-2025,1,,,,,,,,
SD Agency - 55057,7315844735121710,USD,1412.79,01-10-2025,01-10-2025,1,,,,,,,,
S - 87100,382738037760478,USD,50.04,01-10-2025,01-10-2025,1,,,,,,,,
S - 87108,6950746021699870,USD,207.11,01-10-2025,01-10-2025,1,,,,,,,,
S - 53290,920502549306274,USD,24.16,01-10-2025,01-10-2025,1,,,,,,,,
SD Agency - 69404,360822426647966,USD,293.0,01-10-2025,01-10-2025,1,,,,,,,,
S - 15067,902658447985023,USD,0.58,01-10-2025,01-10-2025,1,,,,,,,,
S - 15082,1560045084761949,USD,170.49,01-10-2025,01-10-2025,1,,,,,,,,
S - 86535,341060012173118,USD,528.02,01-10-2025,01-10-2025,1,,,,,,,,
S - 313,2441155466076269,USD,462.62,01-10-2025,01-10-2025,1,,,,,,,,
S - 307,877013387240978,USD,8.71,01-10-2025,01-10-2025,1,,,,,,,,
S - 306,340200765533540,USD,6.7,01-10-2025,01-10-2025,1,,,,,,,,
S - 1234,1154068288896680,USD,57.28,01-10-2025,01-10-2025,1,,,,,,,,
S-092,251747947806551,USD,4.82,01-10-2025,01-10-2025,1,,,,,,,,
S-092,723248649745722,USD,234.06,01-10-2025,01-10-2025,1,,,,,,,,
S-092,2150649605292431,USD,163.9,01-10-2025,01-10-2025,1,,,,,,,,
S-092,1107069996964712,USD,53.54,01-10-2025,01-10-2025,1,,,,,,,,
Tung Tung Sahur 11,1471110213437596,USD,1952.97,01-10-2025,01-10-2025,1,,,,,,,,
ACC TL VIP,1059850581731793,USD,74.98,01-10-2025,01-10-2025,1,,,,,,,,
SD Agency - 20452,2390799841117964,USD,6.54,01-10-2025,01-10-2025,1,,,,,,,,
S - 61248,2145135002497205,USD,19.63,01-10-2025,01-10-2025,1,,,,,,,,
S - 43232,357674580303470,USD,4.95,01-10-2025,01-10-2025,1,,,,,,,,
S-888530582918015,888530582918015,USD,222.47,01-10-2025,01-10-2025,1,,,,,,,,
S-1633273780813849,1633273780813849,USD,45.01,01-10-2025,01-10-2025,1,,,,,,,,
S-1339211493465862,1339211493465862,USD,506.07,01-10-2025,01-10-2025,1,,,,,,,,
S-3170637039747831,3170637039747831,USD,114.92,01-10-2025,01-10-2025,1,,,,,,,,
S-241606168968979,241606168968979,USD,539.13,01-10-2025,01-10-2025,1,,,,,,,,
S-218630931298819,218630931298819,USD,80.65,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,386216643951009,USD,3.95,01-10-2025,01-10-2025,1,,,,,,,,
S-1019424475819571,1019424475819571,USD,99.32,01-10-2025,01-10-2025,1,,,,,,,,
S-908077527494339,908077527494339,USD,178.03,01-10-2025,01-10-2025,1,,,,,,,,
S-2297534430456403,2297534430456403,USD,125.27,01-10-2025,01-10-2025,1,,,,,,,,
S-907433647199280,907433647199280,USD,49.48,01-10-2025,01-10-2025,1,,,,,,,,
S-389623103452401,389623103452401,USD,191.79,01-10-2025,01-10-2025,1,,,,,,,,
S - xmyx,223424660810349,USD,281.71,01-10-2025,01-10-2025,1,,,,,,,,
S - 31231,894511895475817,USD,8.12,01-10-2025,01-10-2025,1,,,,,,,,
S - 648kkk,877970787323126,USD,48.92,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,1373966120180627,USD,5.0,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,742931940677505,USD,5.6,01-10-2025,01-10-2025,1,,,,,,,,
S-1732,760631498821732,USD,4.37,01-10-2025,01-10-2025,1,,,,,,,,
S-6750,329484699906750,USD,43.01,01-10-2025,01-10-2025,1,,,,,,,,
S-3067,2013000395753067,USD,89.32,01-10-2025,01-10-2025,1,,,,,,,,
S - 165499,305981485741917,USD,77.16,01-10-2025,01-10-2025,1,,,,,,,,
Valorie 4 20/5 4,357372926932167,USD,5.97,01-10-2025,01-10-2025,1,,,,,,,,
Valorie 4 20/5 5,376996951515732,USD,3.21,01-10-2025,01-10-2025,1,,,,,,,,
Valorie 10 6,1035936230855988,USD,4.22,01-10-2025,01-10-2025,1,,,,,,,,
RoiBogdan 42 4.9 1,1324517414927279,USD,133.76,01-10-2025,01-10-2025,1,,,,,,,,
RoiBogdan 42 12.8 1,1040481547259288,USD,556.98,01-10-2025,01-10-2025,1,,,,,,,,
Symmetry 3 6,919474285773709,USD,0.28,01-10-2025,01-10-2025,1,,,,,,,,
Kost 23.7 5,729307752457023,USD,50.65,01-10-2025,01-10-2025,1,,,,,,,,
lele294,1529851271139437,USD,103.79,01-10-2025,01-10-2025,1,,,,,,,,
lele294,1155910495394140,USD,93.04,01-10-2025,01-10-2025,1,,,,,,,,
lele294,1371978970125461,USD,152.74,01-10-2025,01-10-2025,1,,,,,,,,
BAOANH10acc 6,705467771652477,USD,1092.29,01-10-2025,01-10-2025,1,,,,,,,,
BAOANH10acc 8,1412815802638745,USD,796.29,01-10-2025,01-10-2025,1,,,,,,,,
S - 82829,920793508633237,USD,1559.77,01-10-2025,01-10-2025,1,,,,,,,,
S - 37383,348900763538482,USD,45.81,01-10-2025,01-10-2025,1,,,,,,,,
S - MG - 537123,467851931655975,USD,529.62,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,977724739817812,USD,56.39,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,635795387638459,USD,17.51,01-10-2025,01-10-2025,1,,,,,,,,
S-741468033416353,741468033416353,USD,39.5,01-10-2025,01-10-2025,1,,,,,,,,
S-316871153red,316871153564371,USD,54.13,01-10-2025,01-10-2025,1,,,,,,,,
S-1129111407893370,1129111407893370,USD,488.96,01-10-2025,01-10-2025,1,,,,,,,,
S-30865734462red,308657344625083,USD,63.86,01-10-2025,01-10-2025,1,,,,,,,,
s 369,947870896119062,USD,133.87,01-10-2025,01-10-2025,1,,,,,,,,
s 368,488455032630626,USD,30.62,01-10-2025,01-10-2025,1,,,,,,,,
S - 5434,272041411702660,USD,664.07,01-10-2025,01-10-2025,1,,,,,,,,
S - 67642,2046531428850071,USD,10.16,01-10-2025,01-10-2025,1,,,,,,,,
S - 45650,486554689640346,USD,23.58,01-10-2025,01-10-2025,1,,,,,,,,
Agency 302,502894007859959,USD,723.75,01-10-2025,01-10-2025,1,,,,,,,,
S - 584,524554435470924,MXN,282.02,01-10-2025,01-10-2025,1,,,,,,,,
Agency 286,708323523525695,USD,1.03,01-10-2025,01-10-2025,1,,,,,,,,
S-3041975,486716176132941,USD,59.0,01-10-2025,01-10-2025,1,,,,,,,,
S-3041975,488412829368976,USD,669.13,01-10-2025,01-10-2025,1,,,,,,,,
S-22,484193949885931,USD,60.85,01-10-2025,01-10-2025,1,,,,,,,,
S-3041975,489852329150766,USD,178.42,01-10-2025,01-10-2025,1,,,,,,,,
px 16.7 2,368686014629844,USD,202.61,01-10-2025,01-10-2025,1,,,,,,,,
265309692257659,265309692257659,USD,10.15,01-10-2025,01-10-2025,1,,,,,,,,
894138267947600,894138267947600,USD,4.04,01-10-2025,01-10-2025,1,,,,,,,,
539381617520031,539381617520031,USD,449.43,01-10-2025,01-10-2025,1,,,,,,,,
A - 72134,306926788158153,USD,69.93,01-10-2025,01-10-2025,1,,,,,,,,
A - 72137,439997637911860,USD,120.03,01-10-2025,01-10-2025,1,,,,,,,,
S - 6745,457371742538892,USD,94.6,01-10-2025,01-10-2025,1,,,,,,,,
Agency 226,768057787503801,USD,116.64,01-10-2025,01-10-2025,1,,,,,,,,
S - 127,490168539402025,USD,37.82,01-10-2025,01-10-2025,1,,,,,,,,
Agency 119,363727781850444,USD,10.85,01-10-2025,01-10-2025,1,,,,,,,,
Agency 116,353167719728369,USD,326.51,01-10-2025,01-10-2025,1,,,,,,,,
Chelsea no.1 5,293916196053906,USD,196.02,01-10-2025,01-10-2025,1,,,,,,,,
RoiBogdan 43 5.9 1,696048781564903,USD,201.52,01-10-2025,01-10-2025,1,,,,,,,,
S -35325,489050369323337,USD,225.17,01-10-2025,01-10-2025,1,,,,,,,,
SD Agency - 15386,696707152570068,USD,6.06,01-10-2025,01-10-2025,1,,,,,,,,
s 485,2356846087843485,USD,13.13,01-10-2025,01-10-2025,1,,,,,,,,
s 9050,335528849349050,USD,21.86,01-10-2025,01-10-2025,1,,,,,,,,
s 6388,749019223806388,USD,163.05,01-10-2025,01-10-2025,1,,,,,,,,
s 4324,385225324044324,USD,175.38,01-10-2025,01-10-2025,1,,,,,,,,
s 3846,1562954824523846,USD,1.0,01-10-2025,01-10-2025,1,,,,,,,,
S - 465144,304956068700838,USD,12.34,01-10-2025,01-10-2025,1,,,,,,,,
S - 465149,716183103959639,USD,85.44,01-10-2025,01-10-2025,1,,,,,,,,
7126518557434203,7126518557434203,USD,255.61,01-10-2025,01-10-2025,1,,,,,,,,
S - 1103808440750968,1103808440750968,USD,101.57,01-10-2025,01-10-2025,1,,,,,,,,
S- 4322,679972440694240,USD,1059.9,01-10-2025,01-10-2025,1,,,,,,,,
S - 4322,1080693983266057,USD,154.89,01-10-2025,01-10-2025,1,,,,,,,,
S - 5435,742485901134720,USD,207.62,01-10-2025,01-10-2025,1,,,,,,,,
S - 5432,1319229392116148,USD,173.86,01-10-2025,01-10-2025,1,,,,,,,,
haz11 1,1881465968934757,USD,515.99,01-10-2025,01-10-2025,1,,,,,,,,
Foster 1 2,1745573385911220,USD,157.84,01-10-2025,01-10-2025,1,,,,,,,,
RoiBogdan 55 19/6 1,224993063993587,USD,95.14,01-10-2025,01-10-2025,1,,,,,,,,
Tawo 11.9 4,3396035457354272,USD,21.47,01-10-2025,01-10-2025,1,,,,,,,,
270361886062906,270361886062906,USD,355.23,01-10-2025,01-10-2025,1,,,,,,,,
S - 011,3463167954013632,USD,127.1,01-10-2025,01-10-2025,1,,,,,,,,
412845514429077,412845514429077,USD,106.07,01-10-2025,01-10-2025,1,,,,,,,,
359996430300462,359996430300462,USD,43.25,01-10-2025,01-10-2025,1,,,,,,,,
S - 10984,523088909025372,USD,32.65,01-10-2025,01-10-2025,1,,,,,,,,
USD 208,240220871640218,USD,97.02,01-10-2025,01-10-2025,1,,,,,,,,
USD 209,343412480986849,USD,146.85,01-10-2025,01-10-2025,1,,,,,,,,
USD 21,7211128648928173,USD,75.38,01-10-2025,01-10-2025,1,,,,,,,,
USD 210,684303622577234,USD,54.41,01-10-2025,01-10-2025,1,,,,,,,,
S - 5793,339493208029086,USD,27.69,01-10-2025,01-10-2025,1,,,,,,,,
USD 218,7006678346073563,USD,73.93,01-10-2025,01-10-2025,1,,,,,,,,
USD236,759652931662873,USD,52.67,01-10-2025,01-10-2025,1,,,,,,,,
USD 256,1049566332255688,USD,644.78,01-10-2025,01-10-2025,1,,,,,,,,
S-6423,267263765536423,USD,371.58,01-10-2025,01-10-2025,1,,,,,,,,
S-4148,479712967084148,USD,341.72,01-10-2025,01-10-2025,1,,,,,,,,
S - 91811,998153510774891,USD,61.3,01-10-2025,01-10-2025,1,,,,,,,,
S - 02929,2965157283736131,USD,61.97,01-10-2025,01-10-2025,1,,,,,,,,
S-309821304318052,309821304318052,USD,9.51,01-10-2025,01-10-2025,1,,,,,,,,
S - 73460,322077843194433,USD,154.35,01-10-2025,01-10-2025,1,,,,,,,,
S - 73462,1382384448868237,USD,88.37,01-10-2025,01-10-2025,1,,,,,,,,
S - 15452,352693930059288,USD,36.66,01-10-2025,01-10-2025,1,,,,,,,,
S - 15469,497715158406212,USD,1.0,01-10-2025,01-10-2025,1,,,,,,,,
S-444116350729189,444116350729189,USD,28.72,01-10-2025,01-10-2025,1,,,,,,,,
S-1285901875250881,1285901875250881,USD,117.79,01-10-2025,01-10-2025,1,,,,,,,,
S-1024859928440681,1024859928440681,USD,14.48,01-10-2025,01-10-2025,1,,,,,,,,
S - 13212224,1183250312209549,USD,40.88,01-10-2025,01-10-2025,1,,,,,,,,
S - 82358,471136694504481,USD,1.52,01-10-2025,01-10-2025,1,,,,,,,,
SD Agency - 62452,1673590179656680,USD,102.48,01-10-2025,01-10-2025,1,,,,,,,,
S - 82362,255962650033549,USD,29.04,01-10-2025,01-10-2025,1,,,,,,,,
706592987006186,706592987006186,USD,0.1,01-10-2025,01-10-2025,1,,,,,,,,
S - 82370,348861847122066,USD,4878.76,01-10-2025,01-10-2025,1,,,,,,,,
S - 82373,372392598069963,USD,6.16,01-10-2025,01-10-2025,1,,,,,,,,
385200967256727,385200967256727,USD,476.12,01-10-2025,01-10-2025,1,,,,,,,,
3046967053red,304696705356271,USD,44.48,01-10-2025,01-10-2025,1,,,,,,,,
329012079red,329012079597815,USD,539.41,01-10-2025,01-10-2025,1,,,,,,,,
S-1380,1834685220321380,USD,104.68,01-10-2025,01-10-2025,1,,,,,,,,
S-3990,747892687393990,USD,93.08,01-10-2025,01-10-2025,1,,,,,,,,
cross39,1054550935663456,USD,0.58,01-10-2025,01-10-2025,1,,,,,,,,
S - 15511,3662780160672411,USD,123.91,01-10-2025,01-10-2025,1,,,,,,,,
S - 64843,926986695751990,USD,42.21,01-10-2025,01-10-2025,1,,,,,,,,
S - 64844,789967226488460,USD,9.36,01-10-2025,01-10-2025,1,,,,,,,,
S - 3220,2743860235790807,USD,49.71,01-10-2025,01-10-2025,1,,,,,,,,
S - 3222,1415277649388814,USD,19.58,01-10-2025,01-10-2025,1,,,,,,,,
S - 3219,741975677484094,USD,73.29,01-10-2025,01-10-2025,1,,,,,,,,
s 193,1088240659186547,USD,124.02,01-10-2025,01-10-2025,1,,,,,,,,
1,1120608719107000,USD,206.96,01-10-2025,01-10-2025,1,,,,,,,,
Vũ Bắc 277,775443001286259,USD,273.0,01-10-2025,01-10-2025,1,,,,,,,,
Vũ Bắc 278,828461512383649,USD,253.68,01-10-2025,01-10-2025,1,,,,,,,,
Vũ Bắc 28,1032734204499736,USD,31.04,01-10-2025,01-10-2025,1,,,,,,,,
Vũ Bắc 280,1525172851579092,USD,85.94,01-10-2025,01-10-2025,1,,,,,,,,
S-355329817281028,355329817281028,USD,216.2,01-10-2025,01-10-2025,1,,,,,,,,
